tag;word;lang
MIG;migrant*;it
MIG;immigrat*;it
MIG;immigrant*;it
REF;rifugiat*;it
ASY;asilo;it
MIG;migrant*;en
MIG;immigrant*;en
REF;refugee*;en
ASY;asylum;en
MIG;migrant*;fr
MIG;immigrant*;fr
MIG;immigre*;fr
REF;réfugié*;fr
ASY;asile;fr
MIG;migrant*;nl
MIG;immigrant*;nl
REF;vluchteling*;nl
REF;gevlucht*;nl
ASY;asiel;nl
MIG;migrant*;es
MIG;inmigrant*;es
REF;refugiad*;es
ASY;asilo;es
MIG;migrant*;de
MIG;einwander*;de
REF;flüchtling*;de
REF;geflüchtete*;de
ASY;asyl*;de
MIG;мигрант*;ru
MIG;иммигрант*;ru
REF;бежен*;ru
ASY;убежищ*;ru
ASY;asilo;pt
REF;refugiad*;pt
MIG;migrant*;pt
MIG;imigrant*;pt
